,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
139,1581,Westborough,MA,Worcester,Worcester,5614,494700.0,489635.52,-0.01,495558.07,0.0,505324.29,0.02,516452.3,0.04,528063.32,0.07,539845.66,0.09,551688.76,0.12,563553.41,0.14,575425.71,0.16,587300.71,0.19
140,1583,West Boylston,MA,Worcester,Worcester,9654,297600.0,310757.26,0.04,321699.35,0.08,331244.41,0.11,340062.57,0.14,348504.39,0.17,356751.36,0.2,364897.46,0.23,372991.32,0.25,381058.14,0.28,389110.97,0.31
141,1585,West Brookfield,MA,Worcester,Worcester,11274,227900.0,247749.83,0.09,256021.77,0.12,262524.33,0.15,268787.49,0.18,275018.31,0.21,281244.77,0.23,287470.64,0.26,293696.42,0.29,299922.2,0.32,306147.97,0.34
142,1588,Whitinsville,MA,Worcester,Worcester,8524,301800.0,319040.33,0.06,332931.72,0.1,344633.79,0.14,355081.22,0.18,364805.49,0.21,374112.88,0.24,383179.94,0.27,392108.45,0.3,400957.1,0.33,409759.7,0.36
143,1590,Sutton,MA,Worcester,Worcester,9147,371800.0,377824.47,0.02,385385.42,0.04,393876.23,0.06,402818.65,0.08,411978.88,0.11,421244.15,0.13,430560.07,0.16,439900.41,0.18,449252.53,0.21,458610.32,0.23
144,1602,Worcester,MA,Worcester,Worcester,4863,251700.0,256976.71,0.02,263019.51,0.04,269462.94,0.07,276102.49,0.1,282837.95,0.12,289620.31,0.15,296425.63,0.18,303242.16,0.2,310064.18,0.23,316888.88,0.26
145,1603,Worcester,MA,Worcester,Worcester,5892,205800.0,216670.93,0.05,224931.17,0.09,231984.37,0.13,238416.15,0.16,244528.33,0.19,250476.14,0.22,256339.42,0.25,262159.22,0.27,267956.66,0.3,273742.6,0.33
146,1604,Worcester,MA,Worcester,Worcester,2373,227200.0,229993.39,0.01,234050.91,0.03,238849.06,0.05,244072.43,0.07,249540.04,0.1,255147.93,0.12,260836.38,0.15,266571.11,0.17,272332.41,0.2,278108.98,0.22
147,1605,Worcester,MA,Worcester,Worcester,3932,240800.0,252803.48,0.05,262916.17,0.09,271754.09,0.13,279815.93,0.16,287404.62,0.19,294704.87,0.22,301829.26,0.25,308846.45,0.28,315798.28,0.31,322710.27,0.34
148,1606,Worcester,MA,Worcester,Worcester,5283,236900.0,244893.06,0.03,252290.48,0.06,259353.07,0.09,266213.91,0.12,272953.11,0.15,279618.99,0.18,286240.66,0.21,292835.68,0.24,299414.62,0.26,305983.88,0.29
149,1607,Worcester,MA,Worcester,Worcester,8904,220100.0,221090.76,0.0,224345.69,0.02,229185.24,0.04,234531.49,0.07,240029.4,0.09,245571.85,0.12,251127.35,0.14,256686.66,0.17,262247.09,0.19,267807.85,0.22
150,1609,Worcester,MA,Worcester,Worcester,5936,327900.0,343013.35,0.05,355370.68,0.08,366335.43,0.12,376460.18,0.15,386074.86,0.18,395380.55,0.21,404499.04,0.23,413504.13,0.26,422440.51,0.29,431335.26,0.32
151,1610,Worcester,MA,Worcester,Worcester,6050,201200.0,203893.83,0.01,208242.47,0.04,213323.82,0.06,218718.24,0.09,224246.2,0.11,229831.11,0.14,235440.32,0.17,241059.88,0.2,246683.87,0.23,252309.74,0.25
152,1611,Leicester,MA,Worcester,Worcester,13650,219000.0,215472.27,-0.02,216428.3,-0.01,219457.65,0.0,223419.39,0.02,227800.28,0.04,232369.62,0.06,237023.66,0.08,241715.79,0.1,246425.04,0.13,251141.98,0.15
153,1612,Paxton,MA,Worcester,Worcester,11668,318700.0,322271.43,0.01,328737.28,0.03,336213.49,0.05,344041.26,0.08,351991.48,0.1,359984.33,0.13,367992.03,0.15,376004.9,0.18,384019.57,0.2,392034.87,0.23
154,1701,Framingham,MA,Boston,Middlesex,2611,448200.0,439701.23,-0.02,444833.12,-0.01,454212.37,0.01,464875.48,0.04,475926.5,0.06,487094.74,0.09,498298.38,0.11,509512.73,0.14,520730.31,0.16,531948.87,0.19
155,1720,Acton,MA,Boston,Middlesex,5168,604000.0,612817.7,0.01,626389.78,0.04,640903.38,0.06,655612.11,0.09,670361.45,0.11,685119.23,0.13,699878.77,0.16,714638.68,0.18,729398.66,0.21,744158.66,0.23
